"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.0015983793464e-20,0.507795474165953,0.439,0.411,2.14041573666326e-17,"0","CHD4"
1.59372756017076e-20,0.527647455697132,0.346,0.302,3.4057957960849e-17,"0","IRF1"
1.76011813581002e-20,0.501268547531899,0.427,0.395,3.761372456226e-17,"0","CHD2"
1.97653986113617e-20,0.47655891816389,0.356,0.309,4.22386568324799e-17,"0","NKTR"
3.85711207013649e-20,0.626075208613242,0.318,0.279,8.24264849388168e-17,"0","MYO1G"
1.03007214149216e-19,0.465644557909922,0.459,0.441,2.20126416636875e-16,"0","CAPN2"
1.22326918810778e-19,0.537224863163232,0.395,0.369,2.61412625498632e-16,"0","CD164"
1.248401226869e-19,0.42160935593344,0.399,0.349,2.66783342181905e-16,"0","FGR"
1.3170498756753e-19,0.459550230979061,0.412,0.378,2.81453558431813e-16,"0","NEAT1"
1.53009933599263e-19,0.592562810265895,0.268,0.222,3.26982228101625e-16,"0","LRP10"
2.70033020146511e-19,0.594981361490059,0.261,0.214,5.77060564053094e-16,"0","SFT2D2"
8.39153086551234e-19,0.344434010438218,0.562,0.553,1.79327014595999e-15,"0","CANX"
1.34026280904275e-18,0.573812980992257,0.28,0.236,2.86414162292436e-15,"0","SUPT16H"
6.21041798401515e-18,0.408266638212149,0.418,0.383,1.32716632318404e-14,"0","TRAF3IP3"
1.1311889456418e-17,0.261447376859117,0.702,0.718,2.41735077683652e-14,"0","YWHAB"
3.01747624869516e-17,0.423713491884745,0.353,0.31,6.44834674346155e-14,"0","SEMA4D"
6.8704141695131e-17,0.473917031357981,0.442,0.433,1.46820750802495e-13,"0","HNRNPM"
2.8509480292519e-15,0.444934282747253,0.445,0.44,6.09247593851132e-12,"0","SF3B2"
5.79571070390863e-15,0.513303250406579,0.383,0.368,1.23854337742527e-11,"0","HNRNPUL1"
6.12766764005994e-15,0.570537523460369,0.335,0.313,1.30948257468081e-11,"0","TACC1"
9.68420561217843e-15,0.460279640850381,0.36,0.332,2.06951473932253e-11,"0","DEK"
1.31099271981073e-14,0.332717857656878,0.501,0.496,2.80159144223553e-11,"0","MYL12A"
1.40891234014635e-14,0.505835281362791,0.396,0.383,3.01084567089274e-11,"0","MYO9B"
1.76010583815845e-14,0.4009648715174,0.446,0.432,3.76134617614462e-11,"0","IFI16"
3.65880658342845e-14,0.583206695970591,0.317,0.291,7.8188696687866e-11,"0","SSH2"
6.96677835077901e-13,0.378038175965549,0.481,0.49,1.48880053356147e-09,"0","CDC42"
2.20260030342682e-12,0.504814280780411,0.349,0.334,4.70695684842311e-09,"0","ADAM10"
2.51143246832787e-12,0.391541687720173,0.441,0.445,5.36693118481667e-09,"0","HNRNPD"
2.57506414620717e-12,0.373295863717846,0.359,0.325,5.50291208044473e-09,"0","TNFAIP3"
2.7441855134547e-12,0.466687696509134,0.262,0.225,5.86432444225269e-09,"0","PDCD4"
3.0149964307195e-12,0.419327139765981,0.431,0.429,6.44304737244757e-09,"0","SCAF11"
6.65191179106992e-12,0.502517669978317,0.311,0.284,1.42151354975164e-08,"0","PRKDC"
8.19490228462024e-12,0.423941806752442,0.37,0.348,1.75125061822335e-08,"0","ZC3HAV1"
